Asset.ID,Time.to.break,Previous.bursts,index,AC,CI,DI,Other,PE,PVC,SI,Steel,NOT_PRESENT,PRESENT,Grassland,Rural,Urban,Alluvial,Brown_earths,Ground_water_gleys,Peats,Podzols,Regosols,Surface_water_gleys,Diameter,Length,Year
404811,12617,0,1029,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.464118703,0.477960333
404811,12702,1,1030,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.464118703,0.477960333
404826,11467,0,1031,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.202840691,0.477960333
404826,17196,1,1032,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.202840691,0.477960333
404850,34819,0,1033,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,0.80613232,-1.810650769
404850,34875,1,1034,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,0.80613232,-1.810650769
404851,25376,0,1035,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.608365802,-0.90247176
404851,25381,1,1036,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.608365802,-0.90247176
404858,16315,0,1037,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.292454878,0.441633173
404858,19368,1,1038,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.292454878,0.441633173
404867,22402,0,1039,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.735089635,-0.103274232
404867,22409,1,1040,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.735089635,-0.103274232
404923,22266,0,1041,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.689866938,-0.212255713
404923,25263,1,1042,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.689866938,-0.212255713
404956,19428,0,1043,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.193976166,-0.276734198,-0.175928553
404956,22264,1,1044,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.193976166,-0.276734198,-0.175928553
404959,14589,0,1045,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.41362943,0.296324532
404959,15713,1,1046,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.41362943,0.296324532
404960,14206,0,1047,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.581073762,0.296324532
404960,16965,1,1048,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.581073762,0.296324532
404961,18592,0,1049,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.548962937,0.296324532
404961,19671,1,1050,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.548962937,0.296324532
404962,18965,0,1051,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.703185688,0.296324532
404962,20775,1,1052,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.703185688,0.296324532
404964,14668,0,1053,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.417090426,0.187343051
404964,20545,1,1054,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.417090426,0.187343051
404995,7450,0,1055,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-0.193976166,1.944948552,0.950213418
404995,14250,1,1056,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-0.193976166,1.944948552,0.950213418
404998,15879,0,1057,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,-0.193976166,0.988526728,0.187343051
404998,19218,1,1058,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,-0.193976166,0.988526728,0.187343051
405173,5476,0,1059,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3.425674153,0.300829172,1.277157861
405173,6972,1,1060,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3.425674153,0.300829172,1.277157861
405190,18987,0,1061,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,-0.193976166,-0.012615708,-0.175928553
405190,23185,1,1062,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,-0.193976166,-0.012615708,-0.175928553
